Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-10-09,38,38.4,37.2,37.4,45561
2019-10-10,37.4,37.7,36.55,37,27235
2019-10-11,37.2,37.65,36.8,37,33118
2019-10-14,37.05,37.65,37,37.5,43695
2019-10-15,37.5,37.6,37.1,37.4,25372
2019-10-16,37.4,37.85,37.2,37.5,34812
2019-10-17,37.5,38,37.25,37.7,150984
2019-10-18,37.7,37.95,37.1,37.6,292758
2019-10-21,37.65,38,37.35,37.65,17619
2019-10-22,37.85,37.85,37.4,37.65,44348
2019-10-23,37.85,37.95,37.35,37.6,13200
2019-10-24,37.7,38,37.6,37.85,18767
2019-10-25,37.85,37.85,37.2,37.4,24506
2019-10-28,37.4,37.7,37.4,37.7,3802
2019-10-29,37.7,37.7,37.5,37.55,5689
2019-10-30,37.7,37.85,37.3,37.85,14662
2019-10-31,37.9,38.8,37.85,38.6,16626
2019-11-04,38.8,39.05,38.25,38.9,54090
2019-11-05,39.05,39.1,38.4,38.9,36442
2019-11-06,38.85,39,38.5,38.5,5947
2019-11-07,38.7,39.1,38.55,38.95,37927
2019-11-08,39,39.5,38.6,38.65,29845
2019-11-12,38.65,38.7,38.1,38.15,24853
2019-11-13,38.5,38.5,37.8,37.85,26543
2019-11-14,37.85,38.3,37.85,38.1,14935
2019-11-15,38.1,38.5,38,38.1,16830
2019-11-18,38.1,39.15,38.1,38.1,23577
2019-11-19,38.2,39.05,38.2,38.8,27939
2019-11-20,38.8,38.8,38,38,29910
2019-11-21,38.1,38.5,38.05,38.15,30362
2019-11-22,38.35,38.5,38.15,38.45,11781
2019-11-25,38.3,39,38.3,39,57614
2019-11-26,38.95,39.6,38.7,39.15,48516
2019-11-27,39.05,39.9,38.95,39.35,77279
2019-11-28,39.4,39.4,38.85,39.05,15919
2019-11-29,39.3,39.3,38.85,38.85,20715
2019-12-02,39.05,39.45,39.05,39.3,51660
2019-12-03,39.15,39.7,39.15,39.2,23068
2019-12-04,39.4,40.5,39.25,40.45,49871
2019-12-05,40.45,42.1,40.45,41.55,87546
2019-12-06,41.5,42.5,41.4,42.2,77337
2019-12-09,42,42.2,40.5,42,65651
2019-12-10,41.7,41.9,40.95,40.95,47152
2019-12-11,40.9,41.15,40.4,40.8,7687
2019-12-12,40.8,41,40.5,40.75,21226
2019-12-13,40.8,41.4,40.55,41.15,34086
2019-12-16,41.15,41.15,40.8,41.05,9693
2019-12-17,40.85,41.5,40.85,41.5,27389
2019-12-18,41.45,41.8,41.4,41.8,8726
2019-12-19,41.8,41.8,40.65,41.15,19198
2019-12-20,41.35,41.35,40.3,40.75,24218
2019-12-23,40.75,40.75,40.45,40.5,7208
2019-12-27,40.25,40.65,40.2,40.6,6767
2019-12-30,40.4,40.45,39.25,39.3,27320
2020-01-02,39.45,39.95,39,39.85,95613
2020-01-03,39.9,41,39.7,41,154308
2020-01-07,41,41.4,41,41.2,39280
2020-01-08,41.3,41.3,40.5,40.75,47175
2020-01-09,40.55,41,40,40,21950
2020-01-10,40.4,40.5,39.75,40,126694
